Row.names	x	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
108	XLOC_002273	Bra011024,Bra011025,Bra011026,Bra011027,Bra011028	EUCA	pk	OK	2.48836	6.91963	1.4755	0.554004	1e-04	0.00189479	yes
109	XLOC_002293	Bra013263	EUCA	pk	OK	5.41924	2.08213	-1.38003	-0.838512	0.00245	0.0210679	yes
110	XLOC_002311	Bra013304	EUCA	pk	OK	8.06119	18.5581	1.20299	0.70709	0.00385	0.0297237	yes
111	XLOC_002355	Bra013410,Bra013411	EUCA	pk	OK	3.50053	7.45434	1.09051	0.628397	0.0054	0.0376496	yes
112	XLOC_002358	Bra013416	EUCA	pk	OK	3.40799	7.15212	1.06945	0.813243	3e-04	0.00448246	yes
113	XLOC_002359	Bra013417	EUCA	pk	OK	2.68498	5.01173	0.900397	0.631137	0.00405	0.0305224	yes
114	XLOC_002364	Bra013430	EUCA	pk	OK	6.69065	14.3914	1.10498	0.821161	0.00045	0.00617811	yes
115	XLOC_002378	Bra013462,Bra013464	EUCA	pk	OK	1.30893	4.63888	1.82538	0.756236	5e-05	0.00105935	yes
116	XLOC_002417	Bra013558	EUCA	pk	OK	13.2049	7.01521	-0.912517	-0.598637	0.00635	0.0424736	yes
117	XLOC_002423	Bra013576	EUCA	pk	OK	1022.2	1773.54	0.79496	0.588112	0.001	0.0110821	yes
118	XLOC_002424	Bra013579,Bra013580	EUCA	pk	OK	24.7003	5.82271	-2.08477	-0.723282	0.00205	0.0186707	yes
119	XLOC_002506	Bra013733,Bra013734	EUCA	pk	OK	29.0569	17.3541	-0.743604	-0.658888	0.0019	0.0177486	yes
120	XLOC_002510	Bra013741	EUCA	pk	OK	248.482	95.6524	-1.37727	-0.962869	5e-05	0.00105935	yes
121	XLOC_002551	Bra013870	EUCA	pk	OK	6.62041	13.1517	0.99026	0.706954	9e-04	0.0103165	yes
122	XLOC_002556	Bra013887	EUCA	pk	OK	1.58414	4.75567	1.58595	0.874731	5e-04	0.00668875	yes
123	XLOC_002579	Bra013945	EUCA	pk	OK	7.89259	18.669	1.24208	0.968802	5e-05	0.00105935	yes
124	XLOC_002592	Bra026455	EUCA	pk	OK	44.3611	17.2392	-1.36361	-1.00621	5e-05	0.00105935	yes
125	XLOC_002630	Bra026387,Bra026388	EUCA	pk	OK	1.53118	4.53825	1.56749	0.960798	5e-05	0.00105935	yes
126	XLOC_002657	Bra026314	EUCA	pk	OK	319.047	162.695	-0.971596	-0.896659	5e-05	0.00105935	yes
127	XLOC_002714	Bra038500,Bra038502	EUCA	pk	OK	17.2672	65.0096	1.91262	3.38657	5e-05	0.00105935	yes
128	XLOC_002888	Bra033775	EUCA	pk	OK	15.3068	6.22317	-1.29845	-0.757285	7e-04	0.00858071	yes
129	XLOC_002889	Bra033774	EUCA	pk	OK	7.14134	13.7465	0.944793	0.708658	0.00285	0.0237757	yes
130	XLOC_002909	Bra029909	EUCA	pk	OK	50.8908	9.89727	-2.3623	-1.42328	5e-05	0.00105935	yes
131	XLOC_002911	Bra029912	EUCA	pk	OK	1.92715	7.09546	1.88043	1.00981	0.00425	0.0315936	yes
132	XLOC_002935	Bra029950	EUCA	pk	OK	1.23377	5.24211	2.08707	0.777877	5e-05	0.00105935	yes
133	XLOC_002942	Bra029961	EUCA	pk	OK	2.06129	8.02487	1.96093	0.893205	0.0026	0.0221674	yes
134	XLOC_003001	Bra035471	EUCA	pk	OK	23.5081	43.8792	0.900377	0.681299	0.00145	0.0146377	yes
135	XLOC_003002	Bra035470	EUCA	pk	OK	10.704	3.34037	-1.68007	-1.30241	5e-05	0.00105935	yes
136	XLOC_003015	Bra035451	EUCA	pk	OK	16.1012	9.63189	-0.741275	-0.594481	0.00455	0.0330867	yes
137	XLOC_003018	Bra035447	EUCA	pk	OK	153.037	77.8125	-0.975804	-0.887474	5e-05	0.00105935	yes
138	XLOC_003043	Bra031523	EUCA	pk	OK	9.11838	17.493	0.939931	0.831093	5e-05	0.00105935	yes
139	XLOC_003084	Bra031452	EUCA	pk	OK	6.35411	0.697561	-3.1873	-1.72091	5e-05	0.00105935	yes
140	XLOC_003185	Bra023777	EUCA	pk	OK	9.8343	35.5046	1.85211	1.20205	5e-05	0.00105935	yes
141	XLOC_003187	Bra023779,Bra023780	EUCA	pk	OK	10.7938	21.0417	0.963039	0.878165	5e-05	0.00105935	yes
142	XLOC_003215	Bra023830	EUCA	pk	OK	5.50368	17.9406	1.70476	1.20591	5e-05	0.00105935	yes
143	XLOC_003219	Bra023844	EUCA	pk	OK	3.56094	13.0907	1.87821	0.832102	9e-04	0.0103165	yes
144	XLOC_003232	Bra023866,Bra023867	EUCA	pk	OK	14.9278	7.56784	-0.980047	-0.761729	8e-04	0.00949644	yes
145	XLOC_003279	Bra038227	EUCA	pk	OK	6.1421	12.6993	1.04795	0.671818	0.00715	0.0456392	yes
146	XLOC_003286	Bra038209	EUCA	pk	OK	3.59305	8.67971	1.27244	0.902553	0.00015	0.00261531	yes
147	XLOC_003308	Bra037557	EUCA	pk	OK	20.6403	11.5014	-0.843659	-0.66732	0.0018	0.0169595	yes
148	XLOC_003314	Bra037566	EUCA	pk	OK	31.9933	14.9116	-1.10134	-0.716906	0.0019	0.0177486	yes
149	XLOC_003323	Bra037590	EUCA	pk	OK	7.98098	4.62089	-0.788393	-0.603239	0.00765	0.0479392	yes
150	XLOC_003356	Bra021277	EUCA	pk	OK	11.8422	18.3247	0.62985	0.583718	0.00485	0.0346186	yes
151	XLOC_003385	Bra021216	EUCA	pk	OK	7.23121	2.61688	-1.46639	-0.788423	5e-05	0.00105935	yes
152	XLOC_003410	Bra021171	EUCA	pk	OK	53.8657	148.441	1.46245	0.935133	0.00025	0.00388519	yes
153	XLOC_003417	Bra021159,Bra021160	EUCA	pk	OK	3.82397	7.67426	1.00496	0.463254	0.00465	0.0336104	yes
154	XLOC_003431	Bra021127,Bra021128	EUCA	pk	OK	21.713	8.529	-1.34811	-1.05252	5e-05	0.00105935	yes
155	XLOC_003436	Bra021117	EUCA	pk	OK	8.87068	4.1852	-1.08375	-0.636977	0.0038	0.0294133	yes
156	XLOC_003446	Bra021102,Bra021103,Bra021104	EUCA	pk	OK	4.83933	9.57297	0.98416	0.409848	0.0042	0.0313968	yes
157	XLOC_003455	NA	EUCA	pk	OK	8.75683	52.8029	2.59214	1.13067	5e-05	0.00105935	yes
158	XLOC_003465	Bra021579	EUCA	pk	OK	6.06657	11.6619	0.942856	0.716345	0.0033	0.0264816	yes
159	XLOC_003498	Bra021498,Bra021499	EUCA	pk	OK	9.28031	15.2928	0.720605	0.612449	0.0044	0.0323682	yes
160	XLOC_003510	Bra038733	EUCA	pk	OK	8.43764	2.26498	-1.89734	-0.713143	0.00595	0.040566	yes
161	XLOC_003546	Bra034160,Bra034161,Bra034162,Bra034163,Bra034164	EUCA	pk	OK	3.49043	25.2662	2.85573	0.923802	5e-05	0.00105935	yes
162	XLOC_003564	Bra034128	EUCA	pk	OK	45.8112	24.4428	-0.906288	-0.877731	1e-04	0.00189479	yes
163	XLOC_003577	Bra034095	EUCA	pk	OK	74.1952	31.9073	-1.21744	-0.961684	5e-05	0.00105935	yes
164	XLOC_003586	Bra034075	EUCA	pk	OK	29.6667	52.6663	0.828033	0.711782	0.0011	0.0119263	yes
165	XLOC_003617	Bra040037	EUCA	pk	OK	5.79926	1.0308	-2.49211	-0.849832	5e-05	0.00105935	yes
166	XLOC_003624	Bra040022,Bra040023	EUCA	pk	OK	19.8029	7.43618	-1.41308	-1.15764	5e-05	0.00105935	yes
